P33136	1510
P27850	98
P52052	167
P45578	2830
P03026	2660
P77438	859
P30958	202
P22523	326
P76177	1230
P33599	540
P76344	2830
P00642	236
P30867	1040
P31120	1040
P29464	905
P33570	192
P03818	117
P77202	212
P11026	518
P0A6T3	704
P15254	694
P76036	368
P04951	613
P17114	737
P00946	859
P32099	153
P76014	250
P13685	192
P75864	194
P08186	640
P00822	1990
P02905	1320
P78083	561
P10344	1040
P02421	16000
P37005	167
P37631	147
P33195	633
P32105	315
P16244	664
P18390	368
P09029	613
P28302	410
P15002	924
P37191	859
P00956	2150
P31680	167
P22938	368
P31550	1170
P00353	5340
P08244	212
P00832	4180
P76503	128
P26428	859
P06958	14500
Q46920	278
P02931	1250
P00478	835
P11880	198
P02359	128000
P27292	198
P39311	1960
P40717	212
P75957	250
P29217	250
P09551	212
P31220	176
P18775	87
P07016	2110
P39347	141
P52643	1200
P02379	885000
P30178	186
P76270	453
P21516	198
P37606	186
P00482	144
P07676	147
P22563	546
P18400	877
P00577	4180
P02996	53300
P37440	223
P03812	356
P12996	368
P11096	1450
Q93K97	414
P61175	12800000
P20752	859
P28242	1490
Q46933	289
P60438	79700
P24186	1250
P06139	61000
P25397	494
P00373	704
P05082	4180
P30748	704
P13029	853
P09625	4180
P21645	453
P26650	2110
P76569	613
P30010	167
P09030	368
P05380	6540
P10443	135
P16095	289
P10413	2070
P61949	835
P78067	137
P31059	613
P22763	100
P02363	9010
P09424	546
P31218	186
P39335	250
P25714	704
P08398	1450
P61889	3390
P24205	186
P23869	4180
P24253	679
Q57261	315
P03019	453
P21170	1110
P37667	453
P20099	100
P19635	128
O65938	546
P26648	132
P0A6A6	593
P13035	223
P31223	632
P14926	14300
P77239	147
P07019	359
Q46918	382
P00363	127
P06711	7650
P31216	1120
P15298	704
P17579	3760
P23929	1040
P18198	805
P02371	453000
P33598	1040
P15034	378
P26427	197000
P10384	420
P04287	629
P17445	194
P19494	1430
P77486	453
P30850	771
P33226	147
P07024	289
P76494	518
P02999	26400
